%GUI Data Logging
%Number of channels = 8
%Sample rate = 250Hz
%Board = MiniKit:2.0.0
Timestamp,ExG Channel 0,ExG Channel 1,ExG Channel 2,ExG Channel 3,ExG Channel 4,ExG Channel 5,ExG Channel 6,ExG Channel 7
1700061768721.0,14252.171516418457,0,0,0,0,0,0,0
1700061768725.0,14041.51439666748,0,0,0,0,0,0,0
1700061768729.0,14220.678806304932,0,0,0,0,0,0,0
1700061768733.0,14013.726711273193,0,0,0,0,0,0,0
1700061768737.0,14034.104347229004,0,0,0,0,0,0,0
1700061768741.0,14235.234260559082,0,0,0,0,0,0,0
1700061768745.0,14052.10018157959,0,0,0,0,0,0,0
1700061768749.0,14046.013355255127,0,0,0,0,0,0,0
1700061768753.0,14159.810543060303,0,0,0,0,0,0,0
1700061768757.0,14456.212520599365,0,0,0,0,0,0,0
1700061768761.0,14306.952953338623,0,0,0,0,0,0,0
1700061768765.0,14122.495651245117,0,0,0,0,0,0,0
1700061768769.0,14050.24766921997,0,0,0,0,0,0,0
1700061768773.0,13568.065166473389,0,0,0,0,0,0,0
1700061768777.0,14337.122440338135,0,0,0,0,0,0,0
1700061768781.0,14665.017127990723,0,0,0,0,0,0,0
1700061768785.0,14154.517650604248,0,0,0,0,0,0,0
1700061768789.0,13545.04108428955,0,0,0,0,0,0,0
1700061768793.0,13884.050846099854,0,0,0,0,0,0,0
1700061768797.0,13616.230487823486,0,0,0,0,0,0,0
1700061768784,13948.094844818115,0,0,0,0,0,0,0
1700061768788.0,13234.877586364746,0,0,0,0,0,0,0
1700061768792.0,14758.70132446289,0,0,0,0,0,0,0
1700061768796.0,13997.054100036621,0,0,0,0,0,0,0
1700061768800.0,13942.008018493652,0,0,0,0,0,0,0
1700061768804.0,13946.506977081299,0,0,0,0,0,0,0
1700061768808.0,14486.382007598877,0,0,0,0,0,0,0
1700061768812.0,14342.41533279419,0,0,0,0,0,0,0
1700061768816.0,14158.487319946289,0,0,0,0,0,0,0
1700061768820.0,14094.178676605225,0,0,0,0,0,0,0
1700061768824.0,13675.246238708496,0,0,0,0,0,0,0
1700061768828.0,14712.917804718018,0,0,0,0,0,0,0
1700061768832.0,13901.517391204834,0,0,0,0,0,0,0
1700061768836.0,14326.536655426025,0,0,0,0,0,0,0
1700061768840.0,14386.346340179443,0,0,0,0,0,0,0
1700061768844.0,13887.491226196289,0,0,0,0,0,0,0
1700061768848.0,14205.594062805176,0,0,0,0,0,0,0
1700061768852.0,13997.054100036621,0,0,0,0,0,0,0
1700061768856.0,14256.4058303833,0,0,0,0,0,0,0
1700061768860.0,14280.223846435547,0,0,0,0,0,0,0
1700061768864.0,13997.583389282227,0,0,0,0,0,0,0
1700061768868.0,14277.842044830322,0,0,0,0,0,0,0
1700061768872.0,13984.880447387695,0,0,0,0,0,0,0
1700061768876.0,14158.487319946289,0,0,0,0,0,0,0
1700061768880.0,14239.733219146729,0,0,0,0,0,0,0
1700061768884.0,14171.454906463623,0,0,0,0,0,0,0
1700061768888.0,14142.343997955322,0,0,0,0,0,0,0
1700061768892.0,14180.188179016113,0,0,0,0,0,0,0
1700061768896.0,14189.715385437012,0,0,0,0,0,0,0
1700061768900.0,14186.804294586182,0,0,0,0,0,0,0
1700061768904.0,14199.507236480713,0,0,0,0,0,0,0
1700061768908.0,14161.663055419922,0,0,0,0,0,0,0
1700061768912.0,14105.029106140137,0,0,0,0,0,0,0
1700061768916.0,14135.992527008057,0,0,0,0,0,0,0
1700061768920.0,14143.931865692139,0,0,0,0,0,0,0
1700061768924.0,14113.497734069824,0,0,0,0,0,0,0
1700061768928.0,14097.089767456055,0,0,0,0,0,0,0
1700061768932.0,14097.089767456055,0,0,0,0,0,0,0
1700061768936.0,14140.491485595703,0,0,0,0,0,0,0
1700061768940.0,14066.65563583374,0,0,0,0,0,0,0
1700061768944.0,14066.65563583374,0,0,0,0,0,0,0
1700061768948.0,14060.039520263672,0,0,0,0,0,0,0
1700061768952.0,14028.81145477295,0,0,0,0,0,0,0
1700061768956.0,14008.433818817139,0,0,0,0,0,0,0
1700061768960.0,14037.809371948242,0,0,0,0,0,0,0
1700061768964.0,14026.694297790527,0,0,0,0,0,0,0
1700061768968.0,13986.468315124512,0,0,0,0,0,0,0
1700061768972.0,14038.338661193848,0,0,0,0,0,0,0
1700061768976.0,14043.896198272705,0,0,0,0,0,0,0
1700061768980.0,13922.159671783447,0,0,0,0,0,0,0
1700061769022,13992.819786071777,0,0,0,0,0,0,0
1700061769026.0,13985.4097366333,0,0,0,0,0,0,0
1700061769030.0,14093.914031982422,0,0,0,0,0,0,0
1700061769034.0,13934.333324432373,0,0,0,0,0,0,0
1700061769038.0,14024.312496185303,0,0,0,0,0,0,0
1700061769042.0,14096.56047821045,0,0,0,0,0,0,0
1700061769046.0,14112.703800201416,0,0,0,0,0,0,0
1700061769050.0,13986.203670501709,0,0,0,0,0,0,0
1700061769054.0,14249.52507019043,0,0,0,0,0,0,0
1700061769058.0,14015.843868255615,0,0,0,0,0,0,0
1700061769062.0,13942.537307739258,0,0,0,0,0,0,0
1700061769066.0,14041.51439666748,0,0,0,0,0,0,0
1700061769070.0,13975.6178855896,0,0,0,0,0,0,0
1700061769074.0,14048.659801483154,0,0,0,0,0,0,0
1700061769078.0,13854.67529296875,0,0,0,0,0,0,0
1700061769082.0,14114.02702331543,0,0,0,0,0,0,0
1700061769086.0,14032.516479492188,0,0,0,0,0,0,0
1700061769090.0,14043.631553649902,0,0,0,0,0,0,0
1700061769094.0,14099.736213684082,0,0,0,0,0,0,0
1700061769098.0,14164.30950164795,0,0,0,0,0,0,0
1700061769102.0,14204.00619506836,0,0,0,0,0,0,0
1700061769106.0,13766.019344329834,0,0,0,0,0,0,0
1700061769110.0,14230.735301971436,0,0,0,0,0,0,0
1700061769114.0,14003.67021560669,0,0,0,0,0,0,0
1700061769118.0,14325.478076934814,0,0,0,0,0,0,0
1700061769122.0,14044.690132141113,0,0,0,0,0,0,0
1700061769126.0,14155.840873718262,0,0,0,0,0,0,0
1700061769130.0,13974.294662475586,0,0,0,0,0,0,0
1700061769134.0,13906.545639038086,0,0,0,0,0,0,0
1700061769138.0,13716.26615524292,0,0,0,0,0,0,0
1700061769142.0,13742.730617523193,0,0,0,0,0,0,0
1700061769146.0,14948.451519012451,0,0,0,0,0,0,0
1700061769150.0,13736.908435821533,0,0,0,0,0,0,0
1700061769154.0,13825.299739837646,0,0,0,0,0,0,0
1700061769158.0,14168.27917098999,0,0,0,0,0,0,0
1700061769162.0,14666.869640350342,0,0,0,0,0,0,0
1700061769166.0,14322.831630706787,0,0,0,0,0,0,0
1700061769170.0,14168.014526367188,0,0,0,0,0,0,0
1700061769174.0,14542.222023010254,0,0,0,0,0,0,0
1700061769178.0,13039.569854736328,0,0,0,0,0,0,0
1700061769182.0,14223.325252532959,0,0,0,0,0,0,0
1700061769186.0,14548.838138580322,0,0,0,0,0,0,0
1700061769190.0,14063.74454498291,0,0,0,0,0,0,0
1700061769194.0,14734.883308410645,0,0,0,0,0,0,0
1700061769198.0,14288.692474365234,0,0,0,0,0,0,0
1700061769202.0,14270.431995391846,0,0,0,0,0,0,0
1700061769206.0,14011.609554290771,0,0,0,0,0,0,0
1700061769210.0,14400.637149810791,0,0,0,0,0,0,0
1700061769214.0,14418.89762878418,0,0,0,0,0,0,0
1700061769218.0,13636.608123779297,0,0,0,0,0,0,0
1700061769202,14390.316009521484,0,0,0,0,0,0,0
1700061769206.0,14587.476253509521,0,0,0,0,0,0,0
1700061769210.0,14058.716297149658,0,0,0,0,0,0,0
1700061769214.0,14297.425746917725,0,0,0,0,0,0,0
1700061769218.0,14149.224758148193,0,0,0,0,0,0,0
1700061769222.0,14698.362350463867,0,0,0,0,0,0,0
1700061769226.0,14372.849464416504,0,0,0,0,0,0,0
1700061769230.0,14394.81496810913,0,0,0,0,0,0,0
1700061769234.0,14260.904788970947,0,0,0,0,0,0,0
1700061769238.0,14260.110855102539,0,0,0,0,0,0,0
1700061769242.0,14158.751964569092,0,0,0,0,0,0,0
1700061769246.0,14318.33267211914,0,0,0,0,0,0,0
1700061769250.0,14433.717727661133,0,0,0,0,0,0,0
1700061769254.0,14341.092109680176,0,0,0,0,0,0,0
1700061769258.0,14386.08169555664,0,0,0,0,0,0,0
1700061769262.0,14242.644309997559,0,0,0,0,0,0,0
1700061769266.0,14341.621398925781,0,0,0,0,0,0,0
1700061769270.0,14284.987449645996,0,0,0,0,0,0,0
1700061769274.0,14246.084690093994,0,0,0,0,0,0,0
1700061769278.0,14243.438243865967,0,0,0,0,0,0,0
1700061769282.0,14230.20601272583,0,0,0,0,0,0,0
1700061769286.0,14249.789714813232,0,0,0,0,0,0,0
1700061769290.0,14179.394245147705,0,0,0,0,0,0,0
1700061769294.0,14196.33150100708,0,0,0,0,0,0,0
1700061769298.0,14166.691303253174,0,0,0,0,0,0,0
1700061769302.0,14222.266674041748,0,0,0,0,0,0,0
1700061769306.0,14132.552146911621,0,0,0,0,0,0,0
1700061769310.0,14133.610725402832,0,0,0,0,0,0,0
1700061769314.0,14139.16826248169,0,0,0,0,0,0,0
1700061769318.0,14165.897369384766,0,0,0,0,0,0,0
1700061769322.0,14100.53014755249,0,0,0,0,0,0,0
1700061769326.0,14108.20484161377,0,0,0,0,0,0,0
1700061769330.0,14112.17451095581,0,0,0,0,0,0,0
1700061769334.0,14084.12218093872,0,0,0,0,0,0,0
1700061769338.0,14101.588726043701,0,0,0,0,0,0,0
1700061769342.0,14083.592891693115,0,0,0,0,0,0,0
1700061769346.0,14119.584560394287,0,0,0,0,0,0,0
1700061769350.0,14082.798957824707,0,0,0,0,0,0,0
1700061769354.0,14067.184925079346,0,0,0,0,0,0,0
1700061769358.0,14073.271751403809,0,0,0,0,0,0,0
1700061769362.0,14106.35232925415,0,0,0,0,0,0,0
1700061769366.0,14180.188179016113,0,0,0,0,0,0,0
