Unnamed: 0,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,pipelineDataset,paradigm,evaluation,pipeline_category,ITR
95,0.93,15.342395,100.0,0.10956675,48,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,91.38773844295777
96,0.99,15.379486,100.0,0.10983144,49,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
97,0.72,14.836055,100.0,0.10594944,49,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,42.045581354276734
98,0.87,14.945479,100.0,0.10673281,50,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,74.19100139269564
99,0.73,15.356478,100.0,0.10966717,50,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,43.83572931582673
100,0.46,32.289726,100.0,0.23059809,51,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,8.924508647421
101,0.7,17.71384,100.0,0.12650324,51,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,38.59322103317763
102,0.77,14.165827,100.0,0.101164475,52,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,51.44683927725579
103,0.48,14.316134,100.0,0.1022381,52,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,10.618437817787814
104,0.68,14.694357,100.0,0.10493932,53,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,35.30583252268417
105,0.83,15.490009,100.0,0.11062083,53,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,64.37109576799104
106,0.51,17.316946,100.0,0.123668544,54,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,13.419415973629416
107,0.72,15.036047,100.0,0.107377,54,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,42.045581354276734
108,0.92,15.324523,100.0,0.10943642,1,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,Lee2019-SSVEP||SSVEP_TS + LR,SSVEP,WithinSession,Riemannian,88.26142858440208
