;score;time;samples;subject;session;channels;n_sessions;dataset;pipeline;paradigm;evaluation;imputed;pipeline_category
96;0.85654604;13.738811;576.0;6;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
97;0.85376096;14.975532;576.0;6;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
98;0.8428454;11.980117;576.0;6;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
99;0.72397476;7.6586056;576.0;6;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
100;0.8922204;18.704391;576.0;6;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
101;0.8682895;14.30263;576.0;6;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
102;0.87997806;13.951384;576.0;6;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
103;0.8031798;14.286135;576.0;6;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
104;0.93853617;12.954291;576.0;7;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
105;0.9032237;14.299805;576.0;7;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
106;0.93536735;10.990975;576.0;7;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
107;0.86907893;11.4178505;576.0;7;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
108;0.9327577;13.159731;576.0;7;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
109;0.9129057;13.582071;576.0;7;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
110;0.9430373;11.554232;576.0;7;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
111;0.8810636;10.760144;576.0;7;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
112;0.87269187;12.161459;576.0;7;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
113;0.8138651;14.05879;576.0;7;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
114;0.860773;11.621;576.0;7;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
115;0.8317763;9.647363;576.0;7;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
116;0.93368423;15.499635;576.0;8;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
117;0.9163377;16.060944;576.0;8;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
118;0.92610747;13.243178;576.0;8;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
119;0.8600658;13.813658;576.0;8;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
120;0.89145285;12.813199;576.0;8;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
121;0.8571491;14.067847;576.0;8;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
122;0.87012607;8.859036;576.0;8;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
123;0.77764803;7.115201;576.0;8;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
124;0.8470011;12.003188;576.0;8;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
125;0.84070176;13.404033;576.0;8;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
126;0.8398794;10.101736;576.0;8;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
127;0.76625;12.399124;576.0;8;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
128;0.9794353;14.722978;576.0;9;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
129;0.9752851;18.100336;576.0;9;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
130;0.973591;14.469374;576.0;9;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
131;0.9381579;12.004035;576.0;9;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
132;0.97157896;14.778466;576.0;9;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
133;0.96364033;13.889308;576.0;9;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
134;0.94517;10.875772;576.0;9;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
135;0.93656796;10.132165;576.0;9;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
136;0.95571274;14.533559;576.0;9;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
137;0.94378287;14.839651;576.0;9;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
138;0.95010966;10.67181;576.0;9;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
139;0.875943;7.263931;576.0;9;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
140;0.9806085;13.941714;576.0;10;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
141;0.97486293;15.843656;576.0;10;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
142;0.96133775;9.6839075;576.0;10;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
143;0.9484375;8.33141;576.0;10;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
144;0.96450657;14.09404;576.0;10;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
145;0.9416283;14.006792;576.0;10;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
146;0.96694624;13.075306;576.0;10;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
147;0.9255428;9.563649;576.0;10;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
148;0.9684375;20.497375;576.0;10;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
149;0.9629715;17.243866;576.0;10;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
150;0.96507126;14.568746;576.0;10;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
151;0.9342325;11.166542;576.0;10;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
152;0.777581;42.235394;5400.0;1;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
153;0.72699046;50.343254;5400.0;1;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
154;0.7546921;30.007761;5400.0;1;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
155;0.576273;22.438442;5400.0;1;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
156;0.91658413;63.604336;5400.0;2;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
157;0.86403173;52.200638;5400.0;2;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
158;0.9045524;41.738556;5400.0;2;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
159;0.82089525;42.52202;5400.0;2;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
160;0.7470889;26.318516;1800.0;3;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
161;0.6949667;20.345684;1800.0;3;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
162;0.7517222;13.273148;1800.0;3;0;8;1;BNCI2015-003;EEGNet-8.2;P300;WithinSession;False;Deep Learning
163;0.69207776;31.001871;1800.0;3;0;8;1;BNCI2015-003;ShallowConvNet;P300;WithinSession;False;Deep Learning
164;0.78723335;23.672667;1800.0;4;0;8;1;BNCI2015-003;EEGITNet;P300;WithinSession;False;Deep Learning
165;0.7223667;20.478233;1800.0;4;0;8;1;BNCI2015-003;EEGNeX;P300;WithinSession;False;Deep Learning
