,Score,time,subject,nb_cal,clf,score_01
117,0.85,1.3925438596491229,4,3,Xdawn+RG+LDA,0.7051975945017183
118,0.65,1.41981981981982,4,3,Xdawn+RG+SVC,0.6205541237113402
119,0.92,1.4474747474747476,4,3,Xdawn+LDA,0.7218159364261167
120,0.82,1.4408602150537635,4,4,Xdawn+RG+MDM,0.6955072633552015
121,0.93,1.5109195402298847,4,4,Xdawn+RG+LDA,0.6993556701030927
122,0.66,1.4790322580645163,4,4,Xdawn+RG+SVC,0.6054065135895033
123,0.89,1.417741935483871,4,4,Xdawn+LDA,0.7225105435801311
124,0.88,1.4763440860215058,4,5,Xdawn+RG+MDM,0.744381443298969
125,0.9,1.474731182795699,4,5,Xdawn+RG+LDA,0.7060051546391752
126,0.82,1.3956790123456795,4,5,Xdawn+RG+SVC,0.637770618556701
127,0.92,1.4250000000000003,4,5,Xdawn+LDA,0.7331056701030927
128,0.86,1.5025641025641028,4,6,Xdawn+RG+MDM,0.7517969644902635
129,0.86,1.4730769230769232,4,6,Xdawn+RG+LDA,0.7277276632302405
130,0.78,1.4442028985507245,4,6,Xdawn+RG+SVC,0.6555555555555556
131,0.89,1.4194444444444443,4,6,Xdawn+LDA,0.7264962772050401
132,1.0,1.5116666666666667,4,7,Xdawn+RG+MDM,0.7795989046391752
133,0.97,1.4447916666666667,4,7,Xdawn+RG+LDA,0.7160196520618557
134,0.91,1.4852941176470589,4,7,Xdawn+RG+SVC,0.6652303479381443
135,0.84,1.505,4,7,Xdawn+LDA,0.7064674613402062
136,0.89,1.475833333333333,4,8,Xdawn+RG+MDM,0.7658044918998528
137,0.93,1.4578947368421054,4,8,Xdawn+RG+LDA,0.7123159057437408
138,0.82,1.3924999999999998,4,8,Xdawn+RG+SVC,0.6702411634756996
139,0.82,1.4641666666666668,4,8,Xdawn+LDA,0.7187131811487482
140,0.88,1.5018518518518518,4,9,Xdawn+RG+MDM,0.7714884020618558
141,0.88,1.5197916666666669,4,9,Xdawn+RG+LDA,0.7327963917525773
142,0.67,1.5023809523809522,4,9,Xdawn+RG+SVC,0.6818298969072165
143,0.75,1.4675925925925926,4,9,Xdawn+LDA,0.7329252577319587
144,0.82,1.4226495726495731,5,1,Xdawn+RG+MDM,0.6485456553755523
145,0.68,1.4671296296296297,5,1,Xdawn+RG+LDA,0.623140648011782
146,0.48,1.3423913043478264,5,1,Xdawn+RG+SVC,0.5292387702503683
147,0.84,1.4307407407407406,5,1,Xdawn+LDA,0.6941688144329897
148,0.83,1.4361904761904765,5,2,Xdawn+RG+MDM,0.7135061459159397
149,0.9,1.4254629629629632,5,2,Xdawn+RG+LDA,0.7247918318794607
150,0.85,1.42875,5,2,Xdawn+RG+SVC,0.6204896907216495
151,1.0,1.4242063492063493,5,2,Xdawn+LDA,0.7436855670103093
152,0.92,1.4166666666666667,5,3,Xdawn+RG+MDM,0.7517665378006873
153,0.98,1.4115384615384614,5,3,Xdawn+RG+LDA,0.717992912371134
154,0.9,1.4171296296296299,5,3,Xdawn+RG+SVC,0.6447809278350516
155,0.94,1.4020833333333331,5,3,Xdawn+LDA,0.7622959621993126
156,0.98,1.4252136752136755,5,4,Xdawn+RG+MDM,0.7961047328959701
157,0.98,1.4121621621621623,5,4,Xdawn+RG+LDA,0.741014526710403
158,0.93,1.3920833333333333,5,4,Xdawn+RG+SVC,0.6871836925960637
159,0.98,1.3860360360360362,5,4,Xdawn+LDA,0.7799144798500468
160,0.95,1.4156862745098042,5,5,Xdawn+RG+MDM,0.7943041237113402
161,0.98,1.4068627450980393,5,5,Xdawn+RG+LDA,0.7691365979381444
162,0.95,1.4273148148148151,5,5,Xdawn+RG+SVC,0.7092074742268041
163,0.98,1.4414414414414416,5,5,Xdawn+LDA,0.7951868556701032
164,0.97,1.3893939393939394,5,6,Xdawn+RG+MDM,0.8154925544100802
165,0.97,1.435858585858586,5,6,Xdawn+RG+LDA,0.7685638602520046
166,0.97,1.3911458333333333,5,6,Xdawn+RG+SVC,0.7214060710194731
167,0.97,1.425555555555556,5,6,Xdawn+LDA,0.7896620847651775
168,0.97,1.4380952380952385,5,7,Xdawn+RG+MDM,0.8222374355670103
169,0.94,1.4250000000000003,5,7,Xdawn+RG+LDA,0.7692413015463917
170,1.0,1.4302083333333333,5,7,Xdawn+RG+SVC,0.7264739046391753
171,1.0,1.4111111111111114,5,7,Xdawn+LDA,0.8052512886597938
172,0.96,1.3817460317460315,5,8,Xdawn+RG+MDM,0.8327503681885126
173,0.96,1.4194444444444443,5,8,Xdawn+RG+LDA,0.7790500736377025
174,1.0,1.427777777777778,5,8,Xdawn+RG+SVC,0.7330357142857142
175,1.0,1.3881944444444443,5,8,Xdawn+LDA,0.8091034609720176
176,1.0,1.4309523809523808,5,9,Xdawn+RG+MDM,0.8144544673539519
177,1.0,1.4626984126984126,5,9,Xdawn+RG+LDA,0.7912908075601375
178,0.96,1.3606060606060604,5,9,Xdawn+RG+SVC,0.7288122852233677
179,0.96,1.415873015873016,5,9,Xdawn+LDA,0.7942225085910652
180,0.93,1.399645390070922,6,1,Xdawn+RG+MDM,0.8076076951399116
181,0.89,1.424074074074074,6,1,Xdawn+RG+LDA,0.734144882179676
182,0.79,1.4329787234042553,6,1,Xdawn+RG+SVC,0.6170885493372607
183,0.88,1.42625,6,1,Xdawn+LDA,0.6785576215022091
184,0.9,1.4049549549549551,6,2,Xdawn+RG+MDM,0.8137936161776368
185,0.87,1.421969696969697,6,2,Xdawn+RG+LDA,0.7218229579698652
186,0.81,1.4051282051282055,6,2,Xdawn+RG+SVC,0.62128766851705
187,0.94,1.4135658914728682,6,2,Xdawn+LDA,0.7815721649484536
188,0.94,1.4180180180180182,6,3,Xdawn+RG+MDM,0.8070017182130584
189,0.92,1.4391472868217057,6,3,Xdawn+RG+LDA,0.7918975515463917
190,0.85,1.3908333333333331,6,3,Xdawn+RG+SVC,0.6430519759450172
191,0.98,1.4434210526315792,6,3,Xdawn+LDA,0.7700118127147766
192,0.91,1.43989898989899,6,4,Xdawn+RG+MDM,0.8442830365510778
193,0.98,1.4311403508771934,6,4,Xdawn+RG+LDA,0.8133024835988754
194,0.95,1.3921052631578952,6,4,Xdawn+RG+SVC,0.7235824742268041
195,0.8,1.4762626262626262,6,4,Xdawn+LDA,0.7344482193064668
