,Score,time,subject,nb_cal,clf,score_01,time_training
275,1.0,1.3735294117647059,8,6,Xdawn+LDA,0.8712199312714777,0.0
276,1.0,1.3966666666666672,8,7,Xdawn+RG+MDM,0.8357683634020618,0.0
277,1.0,1.3522988505747129,8,7,Xdawn+RG+LDA,0.8625402706185568,0.0
278,0.91,1.3872222222222226,8,7,Xdawn+RG+SVC,0.8298807989690722,0.0
279,0.97,1.3694444444444447,8,7,Xdawn+LDA,0.8863321520618557,0.0
280,1.0,1.3666666666666667,8,8,Xdawn+RG+MDM,0.8454528718703976,0.0
281,1.0,1.3886666666666667,8,8,Xdawn+RG+LDA,0.8591494845360825,0.0
282,0.96,1.3978260869565218,8,8,Xdawn+RG+SVC,0.8382916053019146,0.0
283,1.0,1.3693333333333333,8,8,Xdawn+LDA,0.8754050073637702,0.0
284,0.96,1.3936507936507934,8,9,Xdawn+RG+MDM,0.8476267182130583,0.0
285,0.96,1.4075757575757573,8,9,Xdawn+RG+LDA,0.870178264604811,0.0
286,0.96,1.417424242424242,8,9,Xdawn+RG+SVC,0.8275665807560137,0.0
287,1.0,1.36231884057971,8,9,Xdawn+LDA,0.8803908934707904,0.0
288,0.39,1.5146341463414634,9,1,Xdawn+RG+MDM,0.5709821428571429,0.0
289,0.43,1.473888888888889,9,1,Xdawn+RG+LDA,0.5567516568483064,0.0
290,0.57,1.4523809523809526,9,1,Xdawn+RG+SVC,0.5771723122238587,0.0
291,0.36,1.4946666666666666,9,1,Xdawn+LDA,0.5302190721649485,0.0
292,0.38,1.5258620689655173,9,2,Xdawn+RG+MDM,0.5894825535289453,0.0
293,0.56,1.5043478260869565,9,2,Xdawn+RG+LDA,0.5909545995241872,0.0
294,0.42,1.4722222222222223,9,2,Xdawn+RG+SVC,0.5823057097541634,0.0
295,0.56,1.4322222222222227,9,2,Xdawn+LDA,0.6098185963521014,0.0
296,0.58,1.4758620689655175,9,3,Xdawn+RG+MDM,0.647460266323024,0.0
297,0.67,1.4494949494949496,9,3,Xdawn+RG+LDA,0.6435083762886598,0.0
298,0.62,1.4696969696969697,9,3,Xdawn+RG+SVC,0.6453876718213059,0.0
299,0.67,1.459770114942529,9,3,Xdawn+LDA,0.6187285223367698,0.0
300,0.77,1.4488505747126437,9,4,Xdawn+RG+MDM,0.6674086223055296,0.0
301,0.73,1.4096153846153845,9,4,Xdawn+RG+LDA,0.6694646204311153,0.0
302,0.68,1.4566666666666666,9,4,Xdawn+RG+SVC,0.6659910965323337,0.0
303,0.86,1.3939393939393936,9,4,Xdawn+LDA,0.6793404404873478,0.0
304,0.72,1.528787878787879,9,5,Xdawn+RG+MDM,0.6657925257731958,0.0
