,score,time,session,dataset,pipeline,paradigm
338,0.0,4.706416,subject09_block_3,Huebner2018,MDM,P300
339,0.0,9.954575,subject09_block_3,Huebner2018,TS + SVM,P300
340,0.0,4.138167,subject10_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
341,0.0,33.819855,subject10_block_1,Huebner2018,ERPCov + MDM,P300
342,0.0,33.018562,subject10_block_1,Huebner2018,XDAWN + LDA,P300
343,0.0,5.2689524,subject10_block_1,Huebner2018,MDM,P300
344,0.0,10.171925,subject10_block_1,Huebner2018,TS + SVM,P300
345,0.0,3.9370782,subject10_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
346,0.0,30.720028,subject10_block_2,Huebner2018,ERPCov + MDM,P300
347,0.0,31.945105,subject10_block_2,Huebner2018,XDAWN + LDA,P300
348,0.0,5.705874,subject10_block_2,Huebner2018,MDM,P300
349,0.0,9.774874,subject10_block_2,Huebner2018,TS + SVM,P300
350,0.0,3.7447782,subject10_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
351,0.0,32.46053,subject10_block_3,Huebner2018,ERPCov + MDM,P300
352,0.0,32.854294,subject10_block_3,Huebner2018,XDAWN + LDA,P300
353,0.0,5.6687107,subject10_block_3,Huebner2018,MDM,P300
