,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
106,0.51,17.316946,100.0,0.123668544,54,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
107,0.72,15.036047,100.0,0.107377,54,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
108,0.92,15.324523,100.0,0.10943642,1,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
109,0.75,14.895096,100.0,0.106373005,1,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
110,0.96,14.906219,100.0,0.106452204,2,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
111,0.87,14.36463,100.0,0.10258434,2,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
112,0.83,15.727785,100.0,0.112319045,3,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
113,0.94,15.951579,100.0,0.11390843,3,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
114,1.0,16.713577,100.0,0.11935957,4,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
115,1.0,17.481625,100.0,0.12484475,4,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
116,0.5,22.961489,100.0,0.16397963,5,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
117,0.91,16.90862,100.0,0.12074337,5,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
118,0.99,14.863964,100.0,0.10615087,6,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
119,0.98,15.36312,100.0,0.10965949,6,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
120,1.0,15.23459,100.0,0.10878923,7,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
121,1.0,15.034979,100.0,0.1073716,7,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
122,0.79,14.900338,100.0,0.106410466,8,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
123,0.87,13.276147,100.0,0.09481067,8,session_2,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
124,0.88,16.082111,100.0,0.11484967,9,session_1,62,2,Lee2019-SSVEP,SSVEP_TS + LR,SSVEP,WithinSession,Riemannian
